Mesiac	Rok	Typ	Predajca	Hodnota	Kusov	Oblast
Jan	1991	Mlieko	Novak	1133	1655	BA
Jan	1991	Alkohol	Smrek	1216	1390	ZA
Jan	1991	Maso	Dolnik	2086	2913	ST
Jan	1991	Ovocie	Hlavina	1617	2304	VY
Jan	1991	Sladke	Hlavina	2317	1092	ST
Jan	1991	Maso	Smrek	2094	1219	VY
Jan	1991	Maso	Dolnik	1447	2543	VY
Jan	1991	Maso	Novak	1477	2585	BA
Feb	1991	Maso	Smrek	1792	1069	ST
Feb	1991	Mlieko	Hlavina	1225	2312	VY
Feb	1991	Mlieko	Dolnik	2128	2230	ST
Feb	1991	Sladke	Hlavina	1521	2720	VY
Feb	1991	Sladke	Novak	1638	1105	BA
Feb	1991	Alkohol	Nosal	2960	2687	ZA
Feb	1991	Alkohol	Dolnik	2993	2295	ST
Feb	1991	Ovocie	Nosal	1333	1091	VY
Feb	1991	Ovocie	Novak	2632	2609	BA
Mar	1991	Ovocie	Hlavina	2082	1606	BA
Mar	1991	Ovocie	Smrek	2875	1688	VY
Mar	1991	Ovocie	Nosal	1305	2729	ST
Mar	1991	Mlieko	Dolnik	2036	2797	VY
Mar	1991	Mlieko	Novak	2284	2428	BA
Mar	1991	Mlieko	Hlavina	2254	1616	BA
Mar	1991	Maso	Dolnik	1285	2674	VY
Mar	1991	Maso	Smrek	2942	1614	ZA
Mar	1991	Maso	Novak	1128	1268	ST
Mar	1991	Mineralky	Hlavina	1033	2744	BA
Apr	1991	Mineralky	Dolnik	2858	2102	VY
Apr	1991	Mineralky	Hlavina	1284	1888	BA
Apr	1991	Mineralky	Smrek	2215	1968	VY
Apr	1991	Mineralky	Smrek	2008	1911	ZA
Apr	1991	Chlieb	Dolnik	1996	2735	ST
Apr	1991	Chlieb	Novak	2970	2293	BA
Apr	1991	Chlieb	Nosal	1623	1587	ZA
Apr	1991	Mlieko	Smrek	2680	2342	ST
Apr	1991	Mlieko	Hlavina	1671	1948	ST
May	1991	Mlieko	Novak	2398	1736	VY
May	1991	Maso	Smrek	2286	2494	VY
May	1991	Maso	Nosal	2143	2327	ST
May	1991	Maso	Dolnik	2025	1203	VY
May	1991	Sladke	Novak	2062	1899	ZA
May	1991	Sladke	Novak	2982	1025	ST
May	1991	Chlieb	Hlavina	1053	1960	BA
May	1991	Alkohol	Dolnik	2762	1308	ZA
May	1991	Alkohol	Nosal	2744	2981	ST
Jun	1991	Mineralky	Dolnik	1124	1896	BA
Jun	1991	Mineralky	Novak	2945	2659	BA
Jun	1991	Mineralky	Dolnik	2196	1984	ST
Jun	1991	Mineralky	Hlavina	2343	1134	VY
Jun	1991	Mineralky	Smrek	2074	2698	ST
Jun	1991	Chlieb	Nosal	2632	1425	VY
Jun	1991	Sladke	Hlavina	2079	1732	ZA
Jun	1991	Sladke	Novak	2309	1947	ST
Jun	1991	Alkohol	Nosal	2018	2580	BA
Jul	1991	Alkohol	Smrek	1715	1153	ST
Jul	1991	Chlieb	Smrek	1333	1860	VY
Jul	1991	Chlieb	Novak	1795	1153	BA
Jul	1991	Chlieb	Novak	2729	1956	ZA
Jul	1991	Chlieb	Hlavina	1646	1198	ST
Jul	1991	Ovocie	Dolnik	2116	2060	ZA
Jul	1991	Ovocie	Smrek	2163	1524	ST
Jul	1991	Ovocie	Novak	2387	1732	BA
Jul	1991	Ovocie	Dolnik	2963	2710	BA
Jul	1991	Ovocie	Nosal	1605	1135	BA
Aug	1991	Mineralky	Novak	2756	1724	ZA
Aug	1991	Mineralky	Hlavina	2985	1183	ZA
Aug	1991	Mineralky	Hlavina	2934	1411	ST
Aug	1991	Mineralky	Smrek	1014	2959	VY
Aug	1991	Mineralky	Smrek	2702	2068	BA
Aug	1991	Alkohol	Dolnik	2719	2050	VY
Aug	1991	Alkohol	Nosal	1659	1030	VY
Aug	1991	Chlieb	Novak	2820	1043	ST
Aug	1991	Chlieb	Nosal	1233	2029	VY
Aug	1991	Chlieb	Dolnik	2310	2973	ST
Sep	1991	Sladke	Smrek	1086	2493	ZA
Sep	1991	Sladke	Hlavina	2244	1939	ST
Sep	1991	Mlieko	Dolnik	1877	1482	ZA
Sep	1991	Mlieko	Novak	1342	2744	ST
Sep	1991	Mlieko	Nosal	1467	2986	VY
Sep	1991	Chlieb	Smrek	1851	1249	BA
Sep	1991	Chlieb	Hlavina	1789	2681	VY
Sep	1991	Ovocie	Novak	2556	2537	VY
Sep	1991	Ovocie	Dolnik	2839	1284	ST
Oct	1991	Ovocie	Smrek	2263	1605	VY
Oct	1991	Ovocie	Hlavina	1939	1365	ST
Oct	1991	Ovocie	Novak	1690	1541	ZA
Oct	1991	Mlieko	Dolnik	2740	1738	ST
Oct	1991	Mlieko	Smrek	2158	2140	BA
Oct	1991	Mlieko	Nosal	1788	2229	VY
Oct	1991	Sladke	Novak	1012	2388	VY
Oct	1991	Sladke	Novak	1758	2017	ST
Oct	1991	Maso	Novak	2150	2649	BA
Nov	1991	Maso	Dolnik	1160	2724	VY
Nov	1991	Maso	Novak	2462	2122	ZA
Nov	1991	Ovocie	Dolnik	2044	2277	ST
Nov	1991	Ovocie	Smrek	2753	1589	BA
Nov	1991	Ovocie	Hlavina	1038	2939	BA
Nov	1991	Ovocie	Smrek	1123	1654	ZA
Nov	1991	Ovocie	Nosal	1920	1616	ST
Nov	1991	Mlieko	Hlavina	1042	2009	BA
Nov	1991	Mlieko	Novak	2862	1507	ST
Nov	1991	Mlieko	Nosal	2926	1256	BA
Dec	1991	Chlieb	Smrek	1975	1731	ST
Dec	1991	Chlieb	Dolnik	1439	1658	ST
Dec	1991	Maso	Dolnik	2702	2054	VY
Dec	1991	Maso	Hlavina	2052	2052	VY
Dec	1991	Maso	Novak	2193	2900	ST
Dec	1991	Alkohol	Smrek	2050	2331	ST
Dec	1991	Alkohol	Smrek	1395	2253	BA
Dec	1991	Chlieb	Dolnik	2107	1241	BA
Dec	1991	Chlieb	Dolnik	2254	1399	VY
Jan	1992	Chlieb	Novak	1802	2007	ST
Jan	1992	Maso	Nosal	2378	1938	BA
Jan	1992	Chlieb	Smrek	1476	1379	ZA
Jan	1992	Maso	Smrek	2441	2769	ST
