Rok;Mesiac;Typ;Predajca;Hodnota;Kusov;Oblast
1991;Jan;Mlieko;Novak;1133;1655;BA
1991;Jan;Alkohol;Smrek;1216;1390;ZA
1991;Jan;Maso;Dolnik;2086;2913;ST
1991;Jan;Ovocie;Hlavina;1617;2304;VY
1991;Jan;Sladke;Hlavina;2317;1092;ST
1991;Jan;Maso;Smrek;2094;1219;VY
1991;Jan;Maso;Dolnik;1447;2543;VY
1991;Jan;Maso;Novak;1477;2585;BA
1991;Feb;Maso;Smrek;1792;1069;ST
1991;Feb;Mlieko;Hlavina;1225;2312;VY
1991;Feb;Mlieko;Dolnik;2128;2230;ST
1991;Feb;Sladke;Hlavina;1521;2720;VY
1991;Feb;Sladke;Novak;1638;1105;BA
1991;Feb;Alkohol;Nosal;2960;2687;ZA
1991;Feb;Alkohol;Dolnik;2993;2295;ST
1991;Feb;Ovocie;Nosal;1333;1091;VY
1991;Feb;Ovocie;Novak;2632;2609;BA
1991;Mar;Ovocie;Hlavina;2082;1606;BA
1991;Mar;Ovocie;Smrek;2875;1688;VY
1991;Mar;Ovocie;Nosal;1305;2729;ST
1991;Mar;Mlieko;Dolnik;2036;2797;VY
1991;Mar;Mlieko;Novak;2284;2428;BA
1991;Mar;Mlieko;Hlavina;2254;1616;BA
1991;Mar;Maso;Dolnik;1285;2674;VY
1991;Mar;Maso;Smrek;2942;1614;ZA
1991;Mar;Maso;Novak;1128;1268;ST
1991;Mar;Mineralky;Hlavina;1033;2744;BA
1991;Apr;Mineralky;Dolnik;2858;2102;VY
1991;Apr;Mineralky;Hlavina;1284;1888;BA
1991;Apr;Mineralky;Smrek;2215;1968;VY
1991;Apr;Mineralky;Smrek;2008;1911;ZA
1991;Apr;Chlieb;Dolnik;1996;2735;ST
1991;Apr;Chlieb;Novak;2970;2293;BA
1991;Apr;Chlieb;Nosal;1623;1587;ZA
1991;Apr;Mlieko;Smrek;2680;2342;ST
1991;Apr;Mlieko;Hlavina;1671;1948;ST
1991;May;Mlieko;Novak;2398;1736;VY
1991;May;Maso;Smrek;2286;2494;VY
1991;May;Maso;Nosal;2143;2327;ST
1991;May;Maso;Dolnik;2025;1203;VY
1991;May;Sladke;Novak;2062;1899;ZA
1991;May;Sladke;Novak;2982;1025;ST
1991;May;Chlieb;Hlavina;1053;1960;BA
1991;May;Alkohol;Dolnik;2762;1308;ZA
1991;May;Alkohol;Nosal;2744;2981;ST
1991;Jun;Mineralky;Dolnik;1124;1896;BA
1991;Jun;Mineralky;Novak;2945;2659;BA
1991;Jun;Mineralky;Dolnik;2196;1984;ST
1991;Jun;Mineralky;Hlavina;2343;1134;VY
1991;Jun;Mineralky;Smrek;2074;2698;ST
1991;Jun;Chlieb;Nosal;2632;1425;VY
1991;Jun;Sladke;Hlavina;2079;1732;ZA
1991;Jun;Sladke;Novak;2309;1947;ST
1991;Jun;Alkohol;Nosal;2018;2580;BA
1991;Jul;Alkohol;Smrek;1715;1153;ST
1991;Jul;Chlieb;Smrek;1333;1860;VY
1991;Jul;Chlieb;Novak;1795;1153;BA
1991;Jul;Chlieb;Novak;2729;1956;ZA
1991;Jul;Chlieb;Hlavina;1646;1198;ST
1991;Jul;Ovocie;Dolnik;2116;2060;ZA
1991;Jul;Ovocie;Smrek;2163;1524;ST
1991;Jul;Ovocie;Novak;2387;1732;BA
1991;Jul;Ovocie;Dolnik;2963;2710;BA
1991;Jul;Ovocie;Nosal;1605;1135;BA
1991;Aug;Mineralky;Novak;2756;1724;ZA
1991;Aug;Mineralky;Hlavina;2985;1183;ZA
1991;Aug;Mineralky;Hlavina;2934;1411;ST
1991;Aug;Mineralky;Smrek;1014;2959;VY
1991;Aug;Mineralky;Smrek;2702;2068;BA
1991;Aug;Alkohol;Dolnik;2719;2050;VY
1991;Aug;Alkohol;Nosal;1659;1030;VY
1991;Aug;Chlieb;Novak;2820;1043;ST
1991;Aug;Chlieb;Nosal;1233;2029;VY
1991;Aug;Chlieb;Dolnik;2310;2973;ST
1991;Sep;Sladke;Smrek;1086;2493;ZA
1991;Sep;Sladke;Hlavina;2244;1939;ST
1991;Sep;Mlieko;Dolnik;1877;1482;ZA
1991;Sep;Mlieko;Novak;1342;2744;ST
1991;Sep;Mlieko;Nosal;1467;2986;VY
1991;Sep;Chlieb;Smrek;1851;1249;BA
1991;Sep;Chlieb;Hlavina;1789;2681;VY
1991;Sep;Ovocie;Novak;2556;2537;VY
1991;Sep;Ovocie;Dolnik;2839;1284;ST
1991;Oct;Ovocie;Smrek;2263;1605;VY
1991;Oct;Ovocie;Hlavina;1939;1365;ST
1991;Oct;Ovocie;Novak;1690;1541;ZA
1991;Oct;Mlieko;Dolnik;2740;1738;ST
1991;Oct;Mlieko;Smrek;2158;2140;BA
1991;Oct;Mlieko;Nosal;1788;2229;VY
1991;Oct;Sladke;Novak;1012;2388;VY
1991;Oct;Sladke;Novak;1758;2017;ST
1991;Oct;Maso;Novak;2150;2649;BA
1991;Nov;Maso;Dolnik;1160;2724;VY
1991;Nov;Maso;Novak;2462;2122;ZA
